gene_symbol,meta_p_value,meta_log2FC,n_datasets,datasets,all_same_direction,n_up,n_down,meta_adj_p_value,-log10_meta_p
ILVBL,5.592002236953775e-05,0.3158181299247198,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005896722624124266,4.252432663532674
SPRY1,5.5948601911604e-05,-1.2551591264829163,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005896722624124266,4.252210761497774
NASP,5.5950067068932796e-05,-0.5493697406120017,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005896722624124266,4.252199388534202
MOCS2,5.6253679496132136e-05,0.5337326167794051,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005920101389595738,4.249849065525863
MEF2C,5.627442051714393e-05,-0.007721393069131444,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005920101389595738,4.249688968428775
SIVA1,5.6296719005644036e-05,0.21712030239507582,3,GSE55235;GSE12021;GSE55457,False,2,1,0.0005920101389595738,4.2495169152599415
CTDSP2,5.6361713784869316e-05,-0.4181716315017545,3,GSE55235;GSE12021;GSE55457,True,0,3,0.0005922558816330285,4.249015809813993
UQCRC1,5.668588993057444e-05,0.4705622413105586,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005952227615735891,4.2465250308407665
NAB2,5.679839697214639e-05,-0.22789761967990585,3,GSE55235;GSE12021;GSE55457,False,1,2,0.0005959198872975858,4.245663921260378
ADCY7,5.683604772721562e-05,0.5766466363779273,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0005959198872975858,4.24537612972309
GSTA4,5.7146952409992124e-05,0.4751946661365079,3,GSE55235;GSE12021;GSE55457,True,3,0,0.000598738467517944,4.243006925142973
MED8,5.7401130305612114e-05,0.8243502114085041,3,GSE55235;GSE12021;GSE55457,True,3,0,0.0006009590007271885,4.241079555674203
